2026-03-16 09:20:17 status half-installed e2fsprogs:arm64 1.47.0-2+b2
2026-03-16 09:20:18 status unpacked e2fsprogs:arm64 1.47.0-2+b2
2026-03-16 09:20:18 install findutils:arm64 <none> 4.9.0-4
2026-03-16 09:20:18 status half-installed findutils:arm64 4.9.0-4
2026-03-16 09:20:18 status unpacked findutils:arm64 4.9.0-4
2026-03-16 09:20:18 install gcc-12-base:arm64 <none> 12.2.0-14+deb12u1
2026-03-16 09:20:18 status half-installed gcc-12-base:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:18 status unpacked gcc-12-base:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:18 install gpgv:arm64 <none> 2.2.40-1.1+deb12u2
2026-03-16 09:20:18 status half-installed gpgv:arm64 2.2.40-1.1+deb12u2
2026-03-16 09:20:18 status unpacked gpgv:arm64 2.2.40-1.1+deb12u2
2026-03-16 09:20:18 install grep:arm64 <none> 3.8-5
2026-03-16 09:20:18 status half-installed grep:arm64 3.8-5
2026-03-16 09:20:19 status unpacked grep:arm64 3.8-5
2026-03-16 09:20:19 install gzip:arm64 <none> 1.12-1
2026-03-16 09:20:19 status half-installed gzip:arm64 1.12-1
2026-03-16 09:20:19 status unpacked gzip:arm64 1.12-1
2026-03-16 09:20:19 install hostname:arm64 <none> 3.23+nmu1
2026-03-16 09:20:19 status half-installed hostname:arm64 3.23+nmu1
2026-03-16 09:20:19 status unpacked hostname:arm64 3.23+nmu1
2026-03-16 09:20:19 install init-system-helpers:all <none> 1.65.2+deb12u1
2026-03-16 09:20:19 status half-installed init-system-helpers:all 1.65.2+deb12u1
2026-03-16 09:20:19 status unpacked init-system-helpers:all 1.65.2+deb12u1
2026-03-16 09:20:19 install libacl1:arm64 <none> 2.3.1-3
2026-03-16 09:20:19 status half-installed libacl1:arm64 2.3.1-3
2026-03-16 09:20:19 status unpacked libacl1:arm64 2.3.1-3
2026-03-16 09:20:19 install libapt-pkg6.0:arm64 <none> 2.6.1
2026-03-16 09:20:19 status half-installed libapt-pkg6.0:arm64 2.6.1
2026-03-16 09:20:20 status unpacked libapt-pkg6.0:arm64 2.6.1
2026-03-16 09:20:20 install libattr1:arm64 <none> 1:2.5.1-4
2026-03-16 09:20:20 status half-installed libattr1:arm64 1:2.5.1-4
2026-03-16 09:20:20 status unpacked libattr1:arm64 1:2.5.1-4
2026-03-16 09:20:20 install libaudit-common:all <none> 1:3.0.9-1
2026-03-16 09:20:20 status half-installed libaudit-common:all 1:3.0.9-1
2026-03-16 09:20:20 status unpacked libaudit-common:all 1:3.0.9-1
2026-03-16 09:20:20 install libaudit1:arm64 <none> 1:3.0.9-1
2026-03-16 09:20:20 status half-installed libaudit1:arm64 1:3.0.9-1
2026-03-16 09:20:20 status unpacked libaudit1:arm64 1:3.0.9-1
2026-03-16 09:20:20 install libblkid1:arm64 <none> 2.38.1-5+deb12u3
2026-03-16 09:20:20 status half-installed libblkid1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:21 status unpacked libblkid1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:21 install libbz2-1.0:arm64 <none> 1.0.8-5+b1
2026-03-16 09:20:21 status half-installed libbz2-1.0:arm64 1.0.8-5+b1
2026-03-16 09:20:21 status unpacked libbz2-1.0:arm64 1.0.8-5+b1
2026-03-16 09:20:21 install libc-bin:arm64 <none> 2.36-9+deb12u13
2026-03-16 09:20:21 status half-installed libc-bin:arm64 2.36-9+deb12u13
2026-03-16 09:20:21 status unpacked libc-bin:arm64 2.36-9+deb12u13
2026-03-16 09:20:21 upgrade libc6:arm64 2.36-9+deb12u13 2.36-9+deb12u13
2026-03-16 09:20:21 status half-configured libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:21 status unpacked libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:21 status half-installed libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:23 status unpacked libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:23 install libcap-ng0:arm64 <none> 0.8.3-1+b3
2026-03-16 09:20:23 status half-installed libcap-ng0:arm64 0.8.3-1+b3
2026-03-16 09:20:23 status unpacked libcap-ng0:arm64 0.8.3-1+b3
2026-03-16 09:20:23 install libcap2:arm64 <none> 1:2.66-4+deb12u2+b2
2026-03-16 09:20:23 status half-installed libcap2:arm64 1:2.66-4+deb12u2+b2
2026-03-16 09:20:23 status unpacked libcap2:arm64 1:2.66-4+deb12u2+b2
2026-03-16 09:20:24 install libcom-err2:arm64 <none> 1.47.0-2+b2
2026-03-16 09:20:24 status half-installed libcom-err2:arm64 1.47.0-2+b2
2026-03-16 09:20:24 status unpacked libcom-err2:arm64 1.47.0-2+b2
2026-03-16 09:20:24 install libcrypt1:arm64 <none> 1:4.4.33-2
2026-03-16 09:20:24 status half-installed libcrypt1:arm64 1:4.4.33-2
2026-03-16 09:20:24 status unpacked libcrypt1:arm64 1:4.4.33-2
2026-03-16 09:20:24 install libdb5.3:arm64 <none> 5.3.28+dfsg2-1
2026-03-16 09:20:24 status half-installed libdb5.3:arm64 5.3.28+dfsg2-1
2026-03-16 09:20:24 status unpacked libdb5.3:arm64 5.3.28+dfsg2-1
2026-03-16 09:20:24 install libdebconfclient0:arm64 <none> 0.270
2026-03-16 09:20:24 status half-installed libdebconfclient0:arm64 0.270
2026-03-16 09:20:24 status unpacked libdebconfclient0:arm64 0.270
2026-03-16 09:20:24 install libext2fs2:arm64 <none> 1.47.0-2+b2
2026-03-16 09:20:24 status half-installed libext2fs2:arm64 1.47.0-2+b2
2026-03-16 09:20:24 status unpacked libext2fs2:arm64 1.47.0-2+b2
2026-03-16 09:20:25 install libffi8:arm64 <none> 3.4.4-1
2026-03-16 09:20:25 status half-installed libffi8:arm64 3.4.4-1
2026-03-16 09:20:25 status unpacked libffi8:arm64 3.4.4-1
2026-03-16 09:20:25 install libgcc-s1:arm64 <none> 12.2.0-14+deb12u1
2026-03-16 09:20:25 status half-installed libgcc-s1:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:25 status unpacked libgcc-s1:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:25 install libgcrypt20:arm64 <none> 1.10.1-3
2026-03-16 09:20:25 status half-installed libgcrypt20:arm64 1.10.1-3
2026-03-16 09:20:25 status unpacked libgcrypt20:arm64 1.10.1-3
2026-03-16 09:20:25 install libgmp10:arm64 <none> 2:6.2.1+dfsg1-1.1
2026-03-16 09:20:25 status half-installed libgmp10:arm64 2:6.2.1+dfsg1-1.1
2026-03-16 09:20:25 status unpacked libgmp10:arm64 2:6.2.1+dfsg1-1.1
2026-03-16 09:20:26 install libgnutls30:arm64 <none> 3.7.9-2+deb12u5
2026-03-16 09:20:26 status half-installed libgnutls30:arm64 3.7.9-2+deb12u5
2026-03-16 09:20:26 status unpacked libgnutls30:arm64 3.7.9-2+deb12u5
2026-03-16 09:20:26 install libgpg-error0:arm64 <none> 1.46-1
2026-03-16 09:20:26 status half-installed libgpg-error0:arm64 1.46-1
2026-03-16 09:20:26 status unpacked libgpg-error0:arm64 1.46-1
2026-03-16 09:20:26 install libhogweed6:arm64 <none> 3.8.1-2
2026-03-16 09:20:26 status half-installed libhogweed6:arm64 3.8.1-2
2026-03-16 09:20:26 status unpacked libhogweed6:arm64 3.8.1-2
2026-03-16 09:20:26 install libidn2-0:arm64 <none> 2.3.3-1+b1
2026-03-16 09:20:26 status half-installed libidn2-0:arm64 2.3.3-1+b1
2026-03-16 09:20:27 status unpacked libidn2-0:arm64 2.3.3-1+b1
2026-03-16 09:20:27 install liblz4-1:arm64 <none> 1.9.4-1
2026-03-16 09:20:27 status half-installed liblz4-1:arm64 1.9.4-1
2026-03-16 09:20:27 status unpacked liblz4-1:arm64 1.9.4-1
2026-03-16 09:20:27 install liblzma5:arm64 <none> 5.4.1-1
2026-03-16 09:20:27 status half-installed liblzma5:arm64 5.4.1-1
2026-03-16 09:20:27 status unpacked liblzma5:arm64 5.4.1-1
2026-03-16 09:20:27 install libmd0:arm64 <none> 1.0.4-2
2026-03-16 09:20:27 status half-installed libmd0:arm64 1.0.4-2
2026-03-16 09:20:27 status unpacked libmd0:arm64 1.0.4-2
2026-03-16 09:20:27 install libmount1:arm64 <none> 2.38.1-5+deb12u3
2026-03-16 09:20:27 status half-installed libmount1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:27 status unpacked libmount1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:27 install libnettle8:arm64 <none> 3.8.1-2
